timestamp,precip_fayetteville,precip_springdale,precip_bentonville,precip_siloam
2026-04-19 00:00:00,0.0,0.0,0.0,0.0
2026-04-19 01:00:00,0.0,0.0,0.0,0.0
2026-04-19 02:00:00,0.0,0.0,0.0,0.0
2026-04-19 03:00:00,0.0,0.0,0.0,0.0
2026-04-19 04:00:00,0.0,0.0,0.0,0.0
2026-04-19 05:00:00,0.0,0.0,0.0,0.0
2026-04-19 06:00:00,0.0,0.0,0.0,0.0
2026-04-19 07:00:00,0.0,0.0,0.0,0.0
2026-04-19 08:00:00,0.0,0.0,0.0,0.0
2026-04-19 09:00:00,0.0,0.0,0.0,0.0
2026-04-19 10:00:00,0.0,0.0,0.0,0.0
2026-04-19 11:00:00,0.0,0.0,0.0,0.0
2026-04-19 12:00:00,0.0,0.0,0.0,0.0
2026-04-19 13:00:00,0.0,0.0,0.0,0.0
2026-04-19 14:00:00,0.0,0.0,0.0,0.0
2026-04-19 15:00:00,0.0,0.0,0.0,0.0
2026-04-19 16:00:00,0.0,0.0,0.0,0.0
2026-04-19 17:00:00,0.0,0.0,0.0,0.0
2026-04-19 18:00:00,0.0,0.0,0.0,0.0
2026-04-19 19:00:00,0.0,0.0,0.0,0.0
2026-04-19 20:00:00,0.0,0.0,0.0,0.0
2026-04-19 21:00:00,0.0,0.0,0.0,0.0
2026-04-19 22:00:00,0.0,0.0,0.0,0.0
2026-04-19 23:00:00,0.0,0.0,0.0,0.0
2026-04-20 00:00:00,0.0,0.0,0.0,0.0
2026-04-20 01:00:00,0.0,0.0,0.0,0.0
2026-04-20 02:00:00,0.0,0.0,0.0,0.0
2026-04-20 03:00:00,0.0,0.0,0.0,0.0
2026-04-20 04:00:00,0.0,0.0,0.0,0.0
2026-04-20 05:00:00,0.0,0.0,0.0,0.0
2026-04-20 06:00:00,0.0,0.0,0.0,0.0
2026-04-20 07:00:00,0.0,0.0,0.0,0.0
2026-04-20 08:00:00,0.0,0.0,0.0,0.0
2026-04-20 09:00:00,0.0,0.0,0.0,0.0
2026-04-20 10:00:00,0.0,0.0,0.0,0.0
2026-04-20 11:00:00,0.0,0.0,0.0,0.0
2026-04-20 12:00:00,0.0,0.0,0.0,0.0
2026-04-20 13:00:00,0.0,0.0,0.0,0.0
2026-04-20 14:00:00,0.0,0.0,0.0,0.0
2026-04-20 15:00:00,0.0,0.0,0.0,0.0
2026-04-20 16:00:00,0.0,0.0,0.0,0.0
2026-04-20 17:00:00,0.0,0.0,0.0,0.0
2026-04-20 18:00:00,0.0,0.0,0.0,0.0
2026-04-20 19:00:00,0.0,0.0,0.0,0.0
2026-04-20 20:00:00,0.0,0.0,0.0,0.0
2026-04-20 21:00:00,0.0,0.0,0.0,0.0
2026-04-20 22:00:00,0.0,0.0,0.0,0.0
2026-04-20 23:00:00,0.0,0.0,0.0,0.0
2026-04-21 00:00:00,0.0,0.0,0.0,0.0
2026-04-21 01:00:00,0.0,0.0,0.0,0.0
2026-04-21 02:00:00,0.0,0.0,0.0,0.0
2026-04-21 03:00:00,0.0,0.0,0.0,0.0
2026-04-21 04:00:00,0.0,0.0,0.0,0.0
2026-04-21 05:00:00,0.0,0.0,0.0,0.0
2026-04-21 06:00:00,0.0,0.0,0.0,0.0
2026-04-21 07:00:00,0.0,0.0,0.0,0.0
2026-04-21 08:00:00,0.0,0.0,0.0,0.0
2026-04-21 09:00:00,0.0,0.0,0.0,0.0
2026-04-21 10:00:00,0.0,0.0,0.0,0.0
2026-04-21 11:00:00,0.0,0.0,0.0,0.0
2026-04-21 12:00:00,0.0,0.0,0.0,0.0
2026-04-21 13:00:00,0.0,0.0,0.0,0.0
2026-04-21 14:00:00,0.0,0.0,0.0,0.0
2026-04-21 15:00:00,0.0,0.0,0.0,0.0
2026-04-21 16:00:00,0.0,0.0,0.0,0.0
2026-04-21 17:00:00,0.0,0.0,0.0,0.0
2026-04-21 18:00:00,0.0,0.0,0.0,0.0
2026-04-21 19:00:00,0.0,0.0,0.0,0.0
2026-04-21 20:00:00,0.0,0.0,0.0,0.0
2026-04-21 21:00:00,0.0,0.0,0.0,0.0
2026-04-21 22:00:00,0.0,0.0,0.0,0.0
2026-04-21 23:00:00,0.0,0.0,0.0,0.0
2026-04-22 00:00:00,0.0,0.0,0.0,0.0
2026-04-22 01:00:00,0.0,0.0,0.0,0.0
2026-04-22 02:00:00,0.0,0.0,0.0,0.0
2026-04-22 03:00:00,0.0,0.0,0.0,0.0
2026-04-22 04:00:00,0.0,0.0,0.0,0.0
2026-04-22 05:00:00,0.0,0.0,0.0,0.0
2026-04-22 06:00:00,0.0,0.0,0.0,0.0
2026-04-22 07:00:00,0.0,0.0,0.0,0.0
2026-04-22 08:00:00,0.0,0.0,0.0,0.0
2026-04-22 09:00:00,0.0,0.0,0.0,0.0
2026-04-22 10:00:00,0.0,0.0,0.0,0.0
2026-04-22 11:00:00,0.0,0.0,0.0,0.0
2026-04-22 12:00:00,0.0,0.0,0.0,0.0
2026-04-22 13:00:00,0.0,0.0,0.0,0.1
2026-04-22 14:00:00,0.1,0.1,0.2,0.1
2026-04-22 15:00:00,0.1,0.1,0.1,0.1
2026-04-22 16:00:00,0.0,0.0,0.0,0.0
2026-04-22 17:00:00,0.0,0.0,0.0,0.0
2026-04-22 18:00:00,0.0,0.0,0.0,0.0
2026-04-22 19:00:00,0.0,0.0,0.0,0.0
2026-04-22 20:00:00,0.0,0.0,0.0,0.0
2026-04-22 21:00:00,0.0,0.0,0.0,0.0
2026-04-22 22:00:00,0.0,0.0,0.0,0.0
2026-04-22 23:00:00,0.0,0.0,0.0,0.0
2026-04-23 00:00:00,0.0,0.0,0.0,0.0
2026-04-23 01:00:00,0.0,0.0,0.0,0.0
2026-04-23 02:00:00,0.0,0.0,0.0,0.0
2026-04-23 03:00:00,0.0,0.0,0.0,0.0
2026-04-23 04:00:00,0.0,0.0,0.0,0.0
2026-04-23 05:00:00,0.0,0.0,0.0,0.0
2026-04-23 06:00:00,0.0,0.0,0.0,0.0
2026-04-23 07:00:00,0.0,0.0,0.0,0.0
2026-04-23 08:00:00,0.0,0.0,0.0,0.0
2026-04-23 09:00:00,0.0,0.0,0.0,0.0
2026-04-23 10:00:00,0.0,0.1,0.0,0.1
2026-04-23 11:00:00,0.0,0.1,0.1,0.1
2026-04-23 12:00:00,0.0,0.0,0.0,0.0
2026-04-23 13:00:00,0.0,0.0,0.0,0.0
2026-04-23 14:00:00,0.1,0.0,0.0,0.1
